obsID,timelbl2,timelbl3,place
1095,Day,Day,Mudflats_Territory
1106,Day,Day,Mudflats
1107,Day,Day,Mudflats
1108,Day,Day,Mudflats
1109,Day,Day,Mudflats
1110,Day,Day,Mudflats
1111,Day,Day,Mudflats
1112,Day,Day,Mudflats
1113,Day,Day,Mudflats
1114,Day,Day,Mudflats
1115,Day,Day,Mudflats
1118,Day,Day,Mudflats
1119,Day,Day,Mudflats
1120,Day,Day,Mudflats
1121,Day,Day,Mudflats
1122,Day,Day,Mudflats_Territory
1123,Day,Day,Mudflats_Territory
1124,Day,Day,Mudflats_Territory
1125,Day,Day,Mudflats_Territory
1126,Day,Day,Mudflats_Territory
1127,Day,Day,Mudflats_Territory
1128,Day,Day,Mudflats_Territory
1129,Day,Day,Mudflats_Territory
1130,Day,Day,Mudflats_Territory
1131,Day,Day,Mudflats_Territory
1132,Day,Day,Mudflats_Territory
1134,Day,Day,Mudflats_Territory
1135,Day,Day,Mudflats_Territory
1136,Day,Day,Mudflats_Territory
1138,Day,Day,Mudflats_Territory
1141,Day,Day,Mudflats_Territory
1142,Day,Day,Mudflats_Territory
1143,Day,Day,Mudflats_Territory
1145,Day,Day,Mudflats_Territory
1146,Day,Day,Mudflats_Territory
1150,Day,Day,Mudflats_Territory
1151,Day,Day,Mudflats_Territory
1152,Day,Day,Mudflats_Territory
1153,Day,Day,Mudflats_Territory
1155,Day,Day,Mudflats_Territory
1156,Day,Day,Mudflats_Territory
1157,Day,Day,Mudflats_Territory
1158,Day,Day,Mudflats_Territory
1160,Day,Day,Mudflats_Territory
1161,Day,Day,Mudflats_Territory
1162,Day,Day,Mudflats_Territory
1165,Day,Day,Mudflats_Territory
