obsID,birdID,date_time,latitude,longitude,speed
8904,167,12-Jul-09,53.4767806,6.2232156,0.080622577
8905,167,12-Jul-09,53.4767794,6.2232389,0
8906,167,12-Jul-09,53.4768515,6.2232525,0.075498344
8907,167,12-Jul-09,53.4767674,6.2231533,0.16673332
8908,167,12-Jul-09,53.4765913,6.2233532,0.014142136
8909,167,12-Jul-09,53.4769147,6.2231318,0.043588989
8910,167,12-Jul-09,53.476768,6.2232382,0.20976177
8911,167,12-Jul-09,53.4767515,6.223243,0.037416574
8912,167,12-Jul-09,53.4767575,6.2232186,0.134164079
8913,167,12-Jul-09,53.476761,6.2232234,0.014142136
8914,167,12-Jul-09,53.4766758,6.2227777,0.122065556
8915,167,12-Jul-09,53.4766723,6.2226997,0.057445626
8916,167,12-Jul-09,53.476379,6.2233582,0.177200451
8917,167,12-Jul-09,53.4761308,6.2231952,0.014142136
8918,167,12-Jul-09,53.4761465,6.2239973,0.222261108
8919,167,12-Jul-09,53.4762177,6.2230004,0.065574385
8920,167,12-Jul-09,53.4689182,6.2204846,0.167928556
8921,167,12-Jul-09,53.476144,6.223821,0.037416574
8922,167,12-Jul-09,53.4757672,6.2240575,0.024494897
8923,167,12-Jul-09,53.4763865,6.2231658,0.300333148
8924,167,12-Jul-09,53.4761862,6.2241144,0.728971879
8925,167,12-Jul-09,53.476081,6.2233769,0.051961524
8926,167,12-Jul-09,53.4761913,6.223688,0.372155881
8927,167,12-Jul-09,53.4762903,6.2233566,0.527067358
8928,167,12-Jul-09,53.4764533,6.2229531,0.092736185
8929,167,12-Jul-09,53.4760132,6.2234464,0.01
8930,167,12-Jul-09,53.4767121,6.2233246,0.43150898
8931,167,12-Jul-09,53.4766494,6.2235883,0.245967478
8932,167,13-Jul-09,53.4767258,6.2232405,0.043588989
8933,167,13-Jul-09,53.4767863,6.2232513,0
8934,167,13-Jul-09,53.476811,6.2231229,0.084852814
8935,167,13-Jul-09,53.476766,6.2232453,0.014142136
